industry,title,description,skills_required,education_requirement,responsibilities
Hospitality,Tour Guide,Tour Guide is a role in hospitality industry responsible for performing various specialized tasks.,"['Newspaper journalist', 'Tax adviser', 'Furniture conservator/restorer', 'Youth worker', 'Health physicist']",Bachelor's in Animator,"Evolve robust relationships, Transform impactful e-services, Cultivate efficient synergies"
Finance,Investment Banker,Investment Banker is a role in finance industry responsible for performing various specialized tasks.,"['Musician', 'Magazine journalist', 'Astronomer', 'Phytotherapist', 'Electronics engineer']",Bachelor's in psychologist,"Extend user-centric networks, Expedite cross-platform functionalities, Leverage customized e-services"
Engineering,Electrical Engineer,Electrical Engineer is a role in engineering industry responsible for performing various specialized tasks.,"['Museum/gallery curator', 'Dancer', 'Maintenance engineer', 'Accountant, chartered', 'Waste management officer']",Bachelor's in broker,"Optimize open-source solutions, Redefine turn-key infrastructures, Brand b2c architectures"
Legal,Public Defender,Public Defender is a role in legal industry responsible for performing various specialized tasks.,"['Ambulance person', 'IT technical support officer', 'Designer, furniture', 'Computer games developer', 'Physiotherapist']",Bachelor's in manager,"Disintermediate synergistic technologies, Repurpose cross-platform interfaces, Innovate impactful schemas"
Art & Design,Interior Designer,Interior Designer is a role in art & design industry responsible for performing various specialized tasks.,"['Minerals surveyor', 'TEFL teacher', 'Travel agency manager', 'Industrial/product designer', 'Radio broadcast assistant']",Bachelor's in Acupuncturist,"Deliver synergistic infrastructures, Brand ubiquitous web-readiness, Drive rich channels"
Construction,Site Supervisor,Site Supervisor is a role in construction industry responsible for performing various specialized tasks.,"['Financial manager', 'Biomedical scientist', 'Journalist, broadcasting', 'Financial manager', 'Chemical engineer']",Bachelor's in biochemist,"Synergize killer models, Re-intermediate open-source methodologies, Mesh revolutionary e-commerce"
Art & Design,UX Designer,UX Designer is a role in art & design industry responsible for performing various specialized tasks.,"['Magazine features editor', 'Location manager', 'Architectural technologist', 'Psychologist, prison and probation services', 'Chartered loss adjuster']",Bachelor's in curator,"Facilitate compelling relationships, E-enable synergistic models, Extend next-generation interfaces"
Agriculture,Agricultural Technician,Agricultural Technician is a role in agriculture industry responsible for performing various specialized tasks.,"['Commercial art gallery manager', 'Recycling officer', 'Chief Technology Officer', 'Medical laboratory scientific officer', 'Museum/gallery exhibitions officer']",Bachelor's in officer,"Seize collaborative synergies, Visualize extensible mindshare, Optimize synergistic e-commerce"
Art & Design,Art Director,Art Director is a role in art & design industry responsible for performing various specialized tasks.,"['Editorial assistant', 'Building services engineer', 'Equality and diversity officer', 'Scientist, research (life sciences)', 'Physiotherapist']",Bachelor's in technologist,"Utilize virtual users, Matrix plug-and-play relationships, Visualize intuitive experiences"
Art & Design,Graphic Designer,Graphic Designer is a role in art & design industry responsible for performing various specialized tasks.,"['Adobe Photoshop', 'Illustrator', 'Typography', 'UI Design', 'Creativity']",Bachelor's in adviser,"E-enable plug-and-play info-mediaries, Aggregate bleeding-edge convergence, Synthesize killer e-services"
Hospitality,Tour Guide,Tour Guide is a role in hospitality industry responsible for performing various specialized tasks.,"['Air traffic controller', 'Horticultural consultant', 'Location manager', 'Systems analyst', 'Trade mark attorney']",Bachelor's in ceramics/pottery,"Iterate world-class roi, Iterate transparent networks, Architect cutting-edge bandwidth"
Technology,Software Engineer,Software Engineer is a role in technology industry responsible for performing various specialized tasks.,"['Java', 'Spring Boot', 'Git', 'SQL', 'Microservices']",Bachelor's in psychologist,"Orchestrate bleeding-edge e-business, Seize global experiences, Aggregate revolutionary action-items"
Education,Librarian,Librarian is a role in education industry responsible for performing various specialized tasks.,"['Probation officer', 'Immunologist', 'Research scientist (physical sciences)', 'Sports coach', 'Buyer, industrial']",Bachelor's in photographer,"Cultivate e-business bandwidth, Reinvent user-centric communities, Engage strategic e-markets"
Marketing,SEO Analyst,SEO Analyst is a role in marketing industry responsible for performing various specialized tasks.,"['Aid worker', 'Radiographer, therapeutic', 'Chiropodist', 'Surveyor, land/geomatics', 'Fine artist']",Bachelor's in manager,"Incubate enterprise convergence, Brand cross-media experiences, Syndicate extensible infrastructures"
Construction,Mason,Mason is a role in construction industry responsible for performing various specialized tasks.,"['Chief Financial Officer', 'Pilot, airline', 'Control and instrumentation engineer', 'Consulting civil engineer', 'Plant breeder/geneticist']",Bachelor's in radio,"Leverage leading-edge info-mediaries, Scale world-class action-items, Morph transparent bandwidth"
Education,Professor,Professor is a role in education industry responsible for performing various specialized tasks.,"['Armed forces training and education officer', 'Patent attorney', 'Programme researcher, broadcasting/film/video', 'Prison officer', 'Prison officer']",Bachelor's in industrial,"Monetize compelling architectures, Incentivize interactive niches, Scale 24/7 e-commerce"
Legal,Paralegal,Paralegal is a role in legal industry responsible for performing various specialized tasks.,"['Legal Writing', 'Case Research', 'Legal Filing', 'Documentation', 'Attention to Detail']",Bachelor's in sciences),"Empower back-end deliverables, Incubate front-end architectures, Productize interactive architectures"
Marketing,Brand Manager,Brand Manager is a role in marketing industry responsible for performing various specialized tasks.,"['Advertising account planner', 'Colour technologist', 'Special educational needs teacher', 'Leisure centre manager', 'Producer, television/film/video']",Bachelor's in occupational,"Visualize one-to-one users, Facilitate magnetic relationships, Redefine revolutionary platforms"
Technology,Web Developer,Web Developer is a role in technology industry responsible for performing various specialized tasks.,"['Surveyor, building control', 'Event organiser', 'Equality and diversity officer', 'Immigration officer', 'Designer, blown glass/stained glass']",Bachelor's in quality,"Synthesize cutting-edge platforms, Target extensible info-mediaries, Envisioneer frictionless partnerships"
Legal,Corporate Lawyer,Corporate Lawyer is a role in legal industry responsible for performing various specialized tasks.,"['Publishing copy', 'Lighting technician, broadcasting/film/video', 'Sports development officer', 'Microbiologist', 'Heritage manager']",Bachelor's in consultant,"Benchmark world-class e-tailers, Redefine world-class deliverables, Expedite transparent channels"
Legal,Corporate Lawyer,Corporate Lawyer is a role in legal industry responsible for performing various specialized tasks.,"['Engineer, agricultural', 'Engineer, automotive', 'Technical author', 'Surveyor, land/geomatics', 'Administrator, arts']",Bachelor's in manager,"Engineer interactive web services, Whiteboard compelling vortals, Transform efficient eyeballs"
Finance,Tax Consultant,Tax Consultant is a role in finance industry responsible for performing various specialized tasks.,"['Air broker', 'Media buyer', 'Geologist, engineering', 'Water engineer', 'Theatre director']",Bachelor's in finance,"Incentivize out-of-the-box convergence, Grow robust solutions, Matrix dynamic e-tailers"
Legal,Public Defender,Public Defender is a role in legal industry responsible for performing various specialized tasks.,"['Environmental consultant', 'Contracting civil engineer', 'Scientist, marine', 'Therapist, sports', 'Financial risk analyst']",Bachelor's in researcher,"Whiteboard cross-platform vortals, Evolve killer e-business, Enhance revolutionary architectures"
Construction,Plumber,Plumber is a role in construction industry responsible for performing various specialized tasks.,"['Museum/gallery conservator', 'Psychotherapist', 'Broadcast journalist', 'Retail merchandiser', 'Licensed conveyancer']",Bachelor's in examiner,"Repurpose frictionless e-services, Morph distributed models, Grow global solutions"
Construction,Electrician,Electrician is a role in construction industry responsible for performing various specialized tasks.,"['Purchasing manager', 'Building services engineer', 'Regulatory affairs officer', 'Magazine journalist', 'Heritage manager']",Bachelor's in presenter,"Transform scalable bandwidth, Brand revolutionary e-business, Unleash visionary e-markets"
